period,date,hour,snapshots,rows_captured,unique_players,avg_rows_per_snapshot,max_rows_per_snapshot
hour,2026-08-07,11,1,25,25,25.0,25
hour,2026-08-07,12,3,90,31,30.0,30
hour,2026-08-07,13,3,120,40,40.0,40
hour,2026-08-07,15,1,40,40,40.0,40
hour,2026-08-07,18,1,40,40,40.0,40
hour,2026-08-07,20,1,40,40,40.0,40
hour,2026-08-07,22,1,40,40,40.0,40
hour,2026-08-07,23,1,40,40,40.0,40
hour,2026-08-08,4,1,40,40,40.0,40
hour,2026-08-08,6,1,40,40,40.0,40
hour,2026-08-08,8,1,40,40,40.0,40
hour,2026-08-08,10,1,40,40,40.0,40
hour,2026-08-08,11,1,40,40,40.0,40
hour,2026-08-08,14,1,40,40,40.0,40
hour,2026-08-08,15,1,40,40,40.0,40
hour,2026-08-08,16,1,40,40,40.0,40
hour,2026-08-08,17,1,40,40,40.0,40
hour,2026-08-08,19,1,40,40,40.0,40
hour,2026-08-08,21,1,40,40,40.0,40
hour,2026-08-08,22,1,40,40,40.0,40
hour,2026-08-08,23,1,40,40,40.0,40
hour,2026-08-09,0,1,40,40,40.0,40
hour,2026-08-09,4,1,40,40,40.0,40
hour,2026-08-09,7,1,40,40,40.0,40
hour,2026-08-09,10,1,40,40,40.0,40
hour,2026-08-09,11,1,40,40,40.0,40
hour,2026-08-09,14,1,40,40,40.0,40
hour,2026-08-09,15,1,40,40,40.0,40
hour,2026-08-09,17,1,40,40,40.0,40
hour,2026-08-09,19,1,40,40,40.0,40
hour,2026-08-09,21,1,40,40,40.0,40
hour,2026-08-09,22,1,40,40,40.0,40
hour,2026-08-09,23,1,40,40,40.0,40
hour,2026-08-10,5,1,40,40,40.0,40
hour,2026-08-10,10,1,40,40,40.0,40
hour,2026-08-10,12,1,40,40,40.0,40
hour,2026-08-13,16,3,120,40,40.0,40
hour,2026-08-13,18,1,40,40,40.0,40
hour,2026-08-13,21,1,40,40,40.0,40
hour,2026-08-13,23,1,40,40,40.0,40
hour,2026-08-14,5,1,40,40,40.0,40
hour,2026-08-14,9,1,40,40,40.0,40
hour,2026-08-14,12,1,40,40,40.0,40
hour,2026-08-14,15,1,40,40,40.0,40
hour,2026-08-14,18,1,40,40,40.0,40
hour,2026-08-14,20,1,40,40,40.0,40
hour,2026-08-14,21,2,80,40,40.0,40
hour,2026-08-14,22,1,40,40,40.0,40
hour,2026-08-14,23,1,40,40,40.0,40
hour,2026-08-15,3,1,40,40,40.0,40
hour,2026-08-15,4,1,40,40,40.0,40
hour,2026-08-15,5,1,40,40,40.0,40
hour,2026-08-15,7,1,40,40,40.0,40
hour,2026-08-15,8,1,40,40,40.0,40
hour,2026-08-15,9,2,80,40,40.0,40
hour,2026-08-15,10,1,40,40,40.0,40
hour,2026-08-15,11,1,40,40,40.0,40
hour,2026-08-15,12,1,40,40,40.0,40
hour,2026-08-15,13,1,40,40,40.0,40
hour,2026-08-15,14,1,40,40,40.0,40
hour,2026-08-15,15,1,40,40,40.0,40
hour,2026-08-15,16,2,80,40,40.0,40
hour,2026-08-15,17,1,40,40,40.0,40
hour,2026-08-15,19,2,80,40,40.0,40
hour,2026-08-15,20,1,40,40,40.0,40
hour,2026-08-15,21,1,40,40,40.0,40
hour,2026-08-15,22,2,80,40,40.0,40
hour,2026-08-15,23,1,40,40,40.0,40
hour,2026-08-16,0,1,40,40,40.0,40
hour,2026-08-16,3,1,40,40,40.0,40
hour,2026-08-16,5,1,40,40,40.0,40
hour,2026-08-16,6,1,40,40,40.0,40
hour,2026-08-16,7,1,40,40,40.0,40
hour,2026-08-16,9,2,80,40,40.0,40
hour,2026-08-16,10,1,40,40,40.0,40
hour,2026-08-16,11,1,40,40,40.0,40
hour,2026-08-16,12,1,40,40,40.0,40
hour,2026-08-16,13,1,40,40,40.0,40
hour,2026-08-16,14,1,40,40,40.0,40
hour,2026-08-16,15,1,40,40,40.0,40
hour,2026-08-16,16,1,40,40,40.0,40
hour,2026-08-16,17,1,40,40,40.0,40
hour,2026-08-16,18,1,40,40,40.0,40
hour,2026-08-16,19,2,80,40,40.0,40
hour,2026-08-16,20,2,80,40,40.0,40
hour,2026-08-16,21,1,40,40,40.0,40
hour,2026-08-16,22,2,80,40,40.0,40
hour,2026-08-16,23,1,40,40,40.0,40
hour,2026-08-17,0,1,40,40,40.0,40
hour,2026-08-17,3,1,40,40,40.0,40
hour,2026-08-17,5,1,40,40,40.0,40
hour,2026-08-17,8,1,40,40,40.0,40
hour,2026-08-17,10,1,40,40,40.0,40
hour,2026-08-17,11,2,80,40,40.0,40
hour,2026-08-17,13,1,40,40,40.0,40
hour,2026-08-17,14,1,40,40,40.0,40
hour,2026-08-17,15,1,40,40,40.0,40
hour,2026-08-17,17,1,40,40,40.0,40
hour,2026-08-17,18,1,40,40,40.0,40
hour,2026-08-17,19,1,40,40,40.0,40
hour,2026-08-17,20,1,40,40,40.0,40
